year,book,author,language
1971,Kavita Ke Naye Pratiman (Literary criticism),Namwar Singh,HINDI
1970,Nirala Ki Sahitya Sadhana (Biography),Ram Vilas Sharma,HINDI
1969,Rag Darbari (Novel),Shrilal Shukla,HINDI
1968,Do Chattanen (Poetry),Harivansh Rai Bachchan,HINDI
1967,Amrit Aur Vish (Novel),Amritlal Nagar,HINDI
1966,Muktibodh (Novelette),Jainendra Kumar,HINDI
1965,Rasa Siddhanta (Treatise on poetics),Nagendra,HINDI
1964,Aangan Ke Par Dvar (Poetry),‘Agyeya’ (S.H. Vatsyayan),HINDI
1963,Premchand: Kalam Ka Sipahi (Biography),Amrit Rai,HINDI
1961,Bhoole Bisre Chitra (Novel),Bhagwaticharan Verma,HINDI
1960,Kala aur Burha Chand (Poetry),Sumitranandan Pant,HINDI
1959,Sanskriti Ke Char Adhyaya (A survey of Indian culture),‘Dinkar’(Ramdhari Sinha),HINDI
1958,Madhya Asia Ka Itihas (History),Rahul Sankrityayan,HINDI
1957,Bauddha Dharma-Darshan (Philosophy),*Acharya Narendra Dev,HINDI
1956,Padmavat Sanjivani Vyakhya (Commentary),Vasudevasaran Agrawala,HINDI
1955,Him-Tarangini (Poetry),Makhanlal Chaturvedi,HINDI
2023,Mahabharatha Anusandhanada Bharathayatre (Essays),Lakshmisha Tolpadi,KANNADA
2022,"
           Bahutvada  Bhaarata mattu Bouddha Taatvikate (Collection of Articles) 
        ",Mudnakudu Chinnaswamy,KANNADA
2021,Gandhi Kathana (Biography) ,D.S. Nagabhushana,KANNADA
2020,Sri Bahubali  Ahimsadigvijayam (Epic Poetry),M. Veerappa Moily,KANNADA
2019,Kudi Esaru (Autobiography),Vijaya,KANNADA
2018,Anushreni-Yajamanike (Literary Criticism),K.G. Nagarajappa,KANNADA
2017,Kathana Bharathi (Literary Criticism),T.P. Ashoka ,KANNADA
2016,Swatantryada Ota (Novel),Boluwaru Mohammad Kunhi,KANNADA
2015,Akshaya Kavya (Poetry),K.V. Tirumalesh,KANNADA
2014,Uttaraardha (Essays),G.H. Nayak,KANNADA
2013,Akyana-Vyakyana (Essays) ,C.N. Ramachandran,KANNADA
2012,Mabbina Haage Kaniveyaasi (Poetry),H.S. Shiva Prakash,KANNADA
2011,Swapna Saraswata (Novel),Gopalakrishna Pai,KANNADA
2010,Kattiyachina Daari (Criticism),Rahamath Tarikere,KANNADA
2009,Krouncha Pakshigalu (Short Stories),Vaidehi,KANNADA
2008,Halla Bantu Halla (Novel),Shrinivas B. Vaidya,KANNADA
2007,Aramance (Novel),Kum. Veerabhadrappa,KANNADA
2006,Marga-4 (Essays),M.M. Kalburgi,KANNADA
2005,Teru (Novel),Raghavendra Patil,KANNADA
2004,Baduku (Novel),Geetha Nagabhushana,KANNADA
2003,Kaviraja Marga Mattu Kannada Jagattu (Essays),K.V. Subbanna,KANNADA
2002,Yugasandhya (Epic),Sujana (S. Narayana Shetty),KANNADA
2001,English Sahitya Charitre (Literary history),L.S. Seshagiri Rao,KANNADA
2000,Om Namo (Novel),*Shantinath K. Desai,KANNADA
1999,Sahitya Kathana (Essays),*D.R. Nagaraj,KANNADA
1998,Sapthapadi (Poetry),B.C. Ramachandra Sharma,KANNADA
1997,Hosatu Hosatu (Criticism),M. Chidananda Murthy,KANNADA
1996,Bhuvanada Bhagya (Literary criticism),G.S.Amur,KANNADA
1995,Uriya Nalage (Criticism),Kirtinath Kurtkoti,KANNADA
1994,Taledanda (Play),Girish Karnad,KANNADA
1993,Kallu Karaguva Samaya (Short Stories),P. Lankesh,KANNADA
1992,Bakulada Hoovugalu (Poetry),S.R. Ekkundi,KANNADA
1991,Sirisampige (Play),Chandrasekhara Kambar,KANNADA
1990,Kusuma Bale (Novel),Devanur Mahadeva,KANNADA
1989,Samprati (Belles-Lettres),H.M. Nayak,KANNADA
1988,Avadheshwari (Novel),Shankar Mokashi Punekar,KANNADA
1987,Chidambara Rahasya (Novel),K.P. Poornachandra Tejaswi,KANNADA
1986,Bandaya (Novel),Vyasaraya Ballal,KANNADA
1985,Durgaasthamaana (Novel),*T.R. Subba Rao (Ta. Ra. Su.),KANNADA
1984,Kavyartha Chintana (Literary Criticism),G.S. Sivarudrappa,KANNADA
1983,Katheyaadalu Hudugi (Short stories),Yashwant Chittal,KANNADA
1982,Vaishakha (Novel),Chaduranga,KANNADA
1981,Jeewa Dhwani (Poetry),Chennaveera Kanavi,KANNADA
1980,Americadalli Goruru (Travelogue),Goruru Ramaswami lyengar,KANNADA
1979,Chitragalu Patragalu (Reminiscences),A.N. Moorthy Rao,KANNADA
1978,Hasuru Honnu (Travelogue),B.G.L. Swamy,KANNADA
1977,Tereda Baagilu (Poetry),K.S. Narasimhaswam,KANNADA
1976,Mana Manthana (Psychiatric studies),M. Shivaram,KANNADA
1975,Daatu (Novel),S.L. Bhyrappa,KANNADA
1974,Vardhamaana (Poetry),Gopalakrishna Adiga,KANNADA
1973,Aralu Baralu (Poetry),V. Sitaramaiah,KANNADA
1972,Shoonyasampadaneya Paramarshe (Commentary),S.S. Bhoosnurmath,KANNADA
1971,Kalidasa (Literary criticism),Adya Rangacharya,KANNADA
1970,Karnataka Samskritiya Poorva Peethike (Cultural Study),S.B. Joshi,KANNADA
1969,Karnataka Samskriti Sameekshe (Cultural Study),H. Tipperudraswamy,KANNADA
1968,Sannakathegalu (12-13) (Short Stories),‘Srinivasa’ (Masti Venkatesa lyengar),KANNADA
1967,Shrimad Bhagavadgita Tatparya Athava Jivanadharmayoga (Philosophical expositions),D.V. Gundappa,KANNADA
1966,Hamsa Damayand Mattu Itara Rupakagalu (Musical plays),P.T. Narasimhachar,KANNADA
1965,Ranga Binnapa (Philosophical reflections),S.V. Ranganna,KANNADA
1964,Kranti-Kalyana (Novel),B. Puttaswamayya,KANNADA
1962,Mahakshatriya (Novel),*Devudu Narasimha Sastri,KANNADA
1961,Bangali Kadambarikara Bankim Chandra (A critical Study),A.R. Krishna Sastri,KANNADA
1960,Dyava-Prithvi (Poetry),‘Vinayaka’ (V.K. Gokak),KANNADA
1959,Yakshagana Bayalata (A treatise on folk-drama),K.S. Karanth,KANNADA
1958,Aralu-Maralu (Poetry),D.R. Bendre,KANNADA
1956,Kannada Sahitya Charitre (History of Literature),R.S. Mugali,KANNADA
1955,Sri Ramayana Darsanam (Epic),‘Kuvempu’ (K.V. Puttappa),KANNADA
2023,Yeth Waweh Halay Tsong Kous Zalay (Poetry),Manshoor Banihali,KASHMIRI
2022,Zael Dab (Literary Criticism),Farooq Fayaz ,KASHMIRI
2021,Tawazun (Criticism) ,Wali Mohd. Aseer Kashtawari ,KASHMIRI
2020,Tilasm-e-Khanabadosh (Short Stories),(Late) Hirday Koul  Bharti,KASHMIRI
2019,Akh Yaad Akh Qayamat (Short Stories),Abdul Ahad Hajini,KASHMIRI
2018,Aakh (Short Stories),Mushtaq Ahmad Mushtaq,KASHMIRI
2017,Yeli Parda Woth (Short Stories),Autar Krishen Rahbar,KASHMIRI
2016,Aane Khane (Criticism),Aziz Hajini,KASHMIRI
2015,Jamis Ta Kasheeri Manz Kashir Natia Adabuk Tawareekh (Criticism),Bashir Bhadarwahi,KASHMIRI
2014,Kore Kakud Pushrith Gome (Poetry),Shad Ramzan,KASHMIRI
2013,Aina Aatash (Short Stories) ,Mohi-ud-Din Reshi,KASHMIRI
2012,Yath Aangnas Manz (Poetry),Makhan Lal Kanwal,KASHMIRI
2011,Na Thsay Na Aks (Poetry),Naseem Shafaie,KASHMIRI
2010,Yiman Padan Mye Vetsaar Gotshuy (Criticism),Basher Bashir,KASHMIRI
2009,Vont (Literary Criticism),Mishal Sultanpuri,KASHMIRI
2008,Baazyaafat (Criticism),Ghulam Nabi Aatash,KASHMIRI
2007,Tshen (Short Stories),Ratan lal Shant,KASHMIRI
2006,Yaad Aasmqnqn Hinz (Poetry),Shafi Shauq,KASHMIRI
2005,Yath Miani Joye (Poetry),Hamidi Kashmiri,KASHMIRI
2004,Sada Te Samandar (Poetry),Gh. Nabi Firaq,KASHMIRI
2003,Yell Phol Gaash (Short Stories),*Som Nath Zutshi,KASHMIRI
2002,Pursaan (Criticism),Naji Munawar,KASHMIRI
2001,Rikhah (Poetry),*Mohiud-Din-Gowhar,KASHMIRI
2000,Yath Raaz Danay (Short Stories),Harikrishna Kaul,KASHMIRI
1999,Vahrat (Poetry),Rashid Nazki,KASHMIRI
1998,Mahjoor Shinasi (Criticism),Mohammad Yousuf Taing,KASHMIRI
1997,Nai Che Nallan (Poetry),Rafiq Raaz,KASHMIRI
1995,Naar Hatun Kazal Wanas (Poetry),M. Farooq Nazki,KASHMIRI
1994,Kaeji Raath (Play),Sajood Sailani,KASHMIRI
1993,Kenh Natu Kenh (Essays),Syed Rasool Pompur,KASHMIRI
1992,Amaar (Poetry),Shafi Shaida,KASHMIRI
1991,Achhre Tsange (Poetry),Ghulam Nabi Tak Naazir,KASHMIRI
1990,Kashur Sarmaya (Poetry),Fazil Kashmiri,KASHMIRI
1989,Sheen Te Watpod (Novel),Pran Kishore,KASHMIRI
1988,Pun-Te-Paap (Novel),Ghulam Nabi Gauhar,KASHMIRI
1987,Awaz-i-Dost (Poetry),Mir Ghulam Rasool Nazki,KASHMIRI
1986,Shihil Kul (Poetry),Dina Nath Nadim,KASHMIRI
1985,Lole Vetsar (Poetry),Mirza G.H. Beg Arif,KASHMIRI
1984,Essay (Essays),Mohd. Zaman Azurdah,KASHMIRI
1982,Natak Truche (Play),Motilal Kemmu,KASHMIRI
1981,Mansar (Poetry),Moti Lal Saqi,KASHMIRI
1979,Partavistan (Poetry),Marghoob Banihali,KASHMIRI
1978,Be Soakh Rooth (Poetry),G.R. Santosh,KASHMIRI
1976,Machama (Plays),Pushkar Bhan,KASHMIRI
1975,Gaashir Munaar (Essays),Ghulam Nabi Khayal,KASHMIRI
1972,Suyya (Play),Ali Mohammad Lone,KASHMIRI
1970,Maqualaat (Essays),Mohiuddin Hajini,KASHMIRI
1969,Ka ‘Shri Zab’: Ny Hund Alleqavaad Phera (Linguistic Study),Abdul Khaliq Tak Zainageri,KASHMIRI
1967,Laveh Te Praveh (Poetry),Amin Kamil,KASHMIRI
1961,Nauroz-i-Saba (Poetry),A. Rahman Rahi,KASHMIRI
1958,Sat Sangar (Short stories),Akhtar Mohi-ud-Din (Ghulam Mohiud-Din-Akhtar Wani),KASHMIRI
1956,Sumran (Poetry),Zinda Kaul ‘Masterji’,KASHMIRI
2023,Varsal (Short Stories),Prakash S. Parienkar,KONKANI (Since 1977)
2022,Amrutvel (Novel),Maya Anil Kharangate,KONKANI (Since 1977)
2021,Raktachandan (Poetry) ,Sanjiv Verenkar ,KONKANI (Since 1977)
2020,Yugaparivarthanancho  Yatri (Poetry),R.S. Bhaskar,KONKANI (Since 1977)
2019,The Words (Poetry),Nilba A. Khandekar,KONKANI (Since 1977)
2018,Chitralipi (Poetry),Paresh Narendra Kamat,KONKANI (Since 1977)
2017,Khand Ani Her Katha (Short Stories),Gajanan Jog,KONKANI (Since 1977)
2016,Kale Bhangar (Novel),Edwin J.F.D'souza,KONKANI (Since 1977)
2015,Karna Parva (Play),Uday Bhembre,KONKANI (Since 1977)
2014,Manthan (Essays),Madhavi Sardesai,KONKANI (Since 1977)
2013,Manmotayam (Essays) ,Tukaram Rama Shet,KONKANI (Since 1977)
2012,Kavyasutra (Poetry),Kashinath Shamba Lolienkar (S.D.Tendulkar),KONKANI (Since 1977)
2011,Prakriticho Paas (Poetry),Melvyn Rodrigues,KONKANI (Since 1977)
2010,Kayallyachem Sraddha (Poetry),Arun Sakhardande,KONKANI (Since 1977)
2009,Kirvontt (Poetry),Jess Fernandes,KONKANI (Since 1977)
2008,Ghanaqhai Niyatiche (Novel),Ashok Kamat,KONKANI (Since 1977)
2007,Dika (Novel),Devidas Kadam,KONKANI (Since 1977)
2006,Jai Kai Jui (Essays),Datta Damodar Naik,KONKANI (Since 1977)
2005,Bhaangarsaall (Short Stories),N. Shivdas,KONKANI (Since 1977)
2004,Athang (Short Stories),Jayanti Naik,KONKANI (Since 1977)
2003,Parigh (Short Stories),*Shashank Sitaram,KONKANI (Since 1977)
2002,Bhogadandd (Novel),Hema Naik,KONKANI (Since 1977)
2001,Yaman (Poetry),Madhav Borcar,KONKANI (Since 1977)
2000,Champhel’li Sanj (Poetry),Pandurang Bhangui,KONKANI (Since 1977)
1999,Antarnad (Poetry),Saratchandra Shenoi,KONKANI (Since 1977)
1998,Ashim Asim Lharan (Poetry),John Baptist Sequeira,KONKANI (Since 1977)
1997,Bhuim Chafim (Pen-portraits),Sheela Kolambkar,KONKANI (Since 1977)
1996,Nilem Nilem Braham (Poetry),Sankar Ramani,KONKANI (Since 1977)
1995,Gomanchal Te Himachal (Travelogue),Dilip Borkar,KONKANI (Since 1977)
1994,Antarayami (Short Stories),Gokuldas Prabhu,KONKANI (Since 1977)
1993,Tarangan (Short Stories),Mahabaleshwar Sail,KONKANI (Since 1977)
1992,Vanshakulachen Denen (Poetry),Nagesh Karmali,KONKANI (Since 1977)
1991,Sapan Fulam (Short stories),Meena Kakodkar,KONKANI (Since 1977)
1990,Savul Gori (Poetry),Ramesh B. Veluskar,KONKANI (Since 1977)
1989,Sonshyache Kan (Poetry),C.F. D’Costa,KONKANI (Since 1977)
1988,Vhonkolpavnni (Short stories),Chandrakant Keni,KONKANI (Since 1977)
1987,Panaji Atam Mhatari Zalea (Short stories),Arvind N. Mambro,KONKANI (Since 1977)
1986,Hanv Monis Asvat-Thamo (Poetry),Prakash Damodar Padgaonkar,KONKANI (Since 1977)
1985,Bhitorlem Tufan (Poetry),J.B. Moraes,KONKANI (Since 1977)
1984,Chowrang (One-act play),Pundalik Narayan Naik,KONKANI (Since 1977)
1983,Karmelin (Novel),Damodar Mauzo,KONKANI (Since 1977)
1982,Khabari (Essays),Laxmanrao Sardessai,KONKANI (Since 1977)
1981,Sasaya (Poetry),B.B. Borkar (Bakibab),KONKANI (Since 1977)
1980,Pissolim (Poetry),Manohar Sardessai,KONKANI (Since 1977)
1979,Dorya Gazota (Poetry),R.V. Pandit,KONKANI (Since 1977)
1978,Manni Punav (Humorous essays),D.K. Sukhthankar,KONKANI (Since 1977)
1977,Himalayant (Travelogue),Ravindra Kelekar,KONKANI (Since 1977)
2023,Bodha Sanketan (Essays),Basukinath Jha,MAITHILI (Since 1966)
2022,Pen-Drive Me Prithvi (Poetry),Ajit Azad ,MAITHILI (Since 1966)
2021,Pangu (Novel),Jagdish Prasad Mandal,MAITHILI (Since 1966)
2020,Gachh Roosal Achhi (Short Stories),Kamalkant Jha,MAITHILI (Since 1966)
2019,Jingik Oriaon Karait (Poetry),Kumar Manish Arvind,MAITHILI (Since 1966)
2018,Parineeta (Short Stories),Bina Thakur ,MAITHILI (Since 1966)
2017,Jahalak Diary (Poetry),Udaya Narayana Singh ‘Nachiketa’,MAITHILI (Since 1966)
2016,Barki Kaki at Hotmail Dot Corn (Short Stories),Shyam Darihare,MAITHILI (Since 1966)
2015,Khissa (Short Stories),Man Mohan Jha,MAITHILI (Since 1966)
2014,Uchat (Novel),Asha Mishra,MAITHILI (Since 1966)
2013,Sangharsh Aa Sehanta (Memoirs),Sureshwar Jha,MAITHILI (Since 1966)
2012,Kist-Kist Jeewan (Autobiography),Shefalika Verma,MAITHILI (Since 1966)
2011,Apaksha (Poetry),Uday Chandra Jha ‘Vinod’,MAITHILI (Since 1966)
2010,Bhamati (Novel),Usha Kiran Khan,MAITHILI (Since 1966)
2009,Ganga-Putra (Short Stories),*Man Mohan Jha,MAITHILI (Since 1966)
2008,Katek Daaripar (Memoirs),Mantreshwar Jha,MAITHILI (Since 1966)
2007,Sarokar (Short Stories),Pradip Bihari,MAITHILI (Since 1966)
2006,Kaath (Short Stories),Bibhuti Anand,MAITHILI (Since 1966)
2005,Chanan Ghan Gachchiya (Poetry),Vivekanand Thakur,MAITHILI (Since 1966)
2004,Shakuntala (Epic),Chandrabhanu Singh,MAITHILI (Since 1966)
2003,Ritambhara (Short Stories),Niraja Renu (Khamakhy A Devi),MAITHILI (Since 1966)
2002,Sahasmukhi Chowk Par (Poems),Somdev,MAITHILI (Since 1966)
2001,Pratijna Pandav (Epic),Babuajee Jha ‘Ajnat’,MAITHILI (Since 1966)
2000,Katek Raas Baat (Poetry),Ramanand Renu,MAITHILI (Since 1966)
1999,Gananayak (Short Stories),Saketanand,MAITHILI (Since 1966)
1998,Takait Achhi Chirai (Poetry),Jeeva Kant,MAITHILI (Since 1966)
1997,Dhwast Hoet Shanti Stoop (Poetry),Keerti Narayan Mishra,MAITHILI (Since 1966)
1996,Aai Kaalhi Parsoo (Short stories),Raj Mohan Jha,MAITHILI (Since 1966)
1995,Kavita Kusumanjali (Poetry),Jayamanta Mishra,MAITHILI (Since 1966)
1994,Uchitavakta (Short stories),Gangesh Gunjan,MAITHILI (Since 1966)
1993,Samak Pauti (Short stories),Govinda Jha,MAITHILI (Since 1966)
1992,Vividha (Essays),Bhimanath Jha,MAITHILI (Since 1966)
1991,Pasijhaita Pathar (Play),Ramdeo Jha,MAITHILI (Since 1966)
1990,Prabhasak Katha (Short stories),Prabhas Kumar Choudhuri,MAITHILI (Since 1966)
1989,Parasar (Epic),*Kanchinath Jha ‘Kiran’,MAITHILI (Since 1966)
1988,Mantraputra (Novel),Mayanand Mishra,MAITHILI (Since 1966)
1987,Atita (Short stories),Umanath Jha,MAITHILI (Since 1966)
1986,Natik Patrak Uttar (Belles-lettres),Subhadra Jha,MAITHILI (Since 1966)
1985,Jeevan Yatra (Autobiography),*Hari Mohan Jha,MAITHILI (Since 1966)
1984,Suryamukhi (Poetry),Arsi Prasad Singh,MAITHILI (Since 1966)
1983,Maithili Patrakaritaka Ithihas (Treatise),Chandranath Mishra ‘Amar’,MAITHILI (Since 1966)
1982,Marichika (Novel),Lily Ray,MAITHILI (Since 1966)
1981,Agastyayaini (Epic),Markandeya Pravasi,MAITHILI (Since 1966)
1980,Ee Bataha Sansar (Novel),Sudhanshu Shekhar Chaudhary,MAITHILI (Since 1966)
1979,Krishna-charit (Poetry),Tantranath Jha,MAITHILI (Since 1966)
1978,Baji Uthal Murali (Poetry),Upendra Thakur ‘Mohan’,MAITHILI (Since 1966)
1977,Avahatta: Udbhava O Vikas (Literary criticism),*Rajeshwar Jha,MAITHILI (Since 1966)
1976,Sitayana (Epic),Vaidyanath Mallik ‘Vidhu’,MAITHILI (Since 1966)
1975,Kichhu Dekhal Kichhu Sunal (Reminiscences),Girindramohan Mishra,MAITHILI (Since 1966)
1973,Naika Banijara (Novel),Braj Kishore Verma ‘Manipadma’,MAITHILI (Since 1966)
1971,Payasvini (Poetry),Surenda Jha ‘Suman’,MAITHILI (Since 1966)
1970,Radha Viraha (Epic poetry),Kashikant Mishra ‘Madhup’,MAITHILI (Since 1966)
1969,Du Patra (Novel),Upendranth Jha,MAITHILI (Since 1966)
1968,Patrahin Nagna Gachh (Poetry),‘Yatri’ (Vaidyanath Mishra),MAITHILI (Since 1966)
1966,Mithila-Baibhav (Philosophical treatise),Yashodhar Jha,MAITHILI (Since 1966)
2023,Malayala Novelinte Deshakalangal (Literary Study),E.V. Ramakrishnan,MALAYALAM
2022,Ashaante Seethayanam (Literary Criticism),M. Thomas Mathew,MALAYALAM
2021,Hrudayaragangal (Autobiography) ,George Onakkoor ,MALAYALAM
2020,Akasmikam  (Omcheriyute Ormmakkurippukal) (Memoirs),Omchery N.N Pillai ,MALAYALAM
2019,Achan Piranna Veedu (Poetry),V. Madhusoodanan Nair,MALAYALAM
2018,Gurupournami (Poetry) ,S. Ramesan Nair,MALAYALAM
2017,Daivathinte Pusthakam (Novel),K.P. Ramanunni,MALAYALAM
2016,Shyamamadhavam (Poetry),Prabha Varma,MALAYALAM
2015,Aarachar (Novel),K.R. Meera,MALAYALAM
2014,Manushyanu Oru Aamukham (Novel),Subhash Chandran,MALAYALAM
2013,Kathayillathavante Katha (Autobiography),M.N. Paloor,MALAYALAM
2012,Marannu Vecha Vasthukkal (Poetry),K. Satchidanandan,MALAYALAM
2011,Basheer: Ekantha Veedhiyile Avadhoothan (Biography),M.K. Sanu,MALAYALAM
2010,Haimavathabhuvil (Travelogue),M.P. Veerendra Kumar,MALAYALAM
2009,Thrikkotlur Novellukar (Novellas),U.A Khader,MALAYALAM
2008,Madhuram Ninte Jeevitham (Essays),*K.P. Appan,MALAYALAM
2007,Adayalangal (Novel),Sethu (A. Sethumadhavan),MALAYALAM
2006,Chuvanna Chinnangal (Short Stories),M. Sukumaran,MALAYALAM
2005,Jappana Ppukayila (Short Stories),G.V. Kakkanadan,MALAYALAM
2004,Zachariyayute Kathakai (Short Stories),Paul Zachariah,MALAYALAM
2003,Alahayude Penmakkal (Novel),Sara Joseph,MALAYALAM
2002,K.G. Sankara Pillayude Kavitakal (Poems),K.G. Sankara Pillai,MALAYALAM
2001,Attoor Ravi Varmayute Kavitakal (Poetry),Attoor Ravi Varma,MALAYALAM
2000,R. Ramachandrante Kavithakal (Poetry),R. Ramachandran,MALAYALAM
1999,Sreeramante Kathakal (Short Stories),C.V. Sreeraman,MALAYALAM
1998,Thattakam (Novel),Kovilan (V.V. Ayyappan),MALAYALAM
1997,Govardhante Yatrakal (Novel),Anand (P. Satchidanandan),MALAYALAM
1996,Gowri (Short Stories),T. Padmanabhan,MALAYALAM
1995,Arangu Kanatha Natan (Memoirs),Thikkodiyan (P. K. Nair),MALAYALAM
1994,Ujjayiniyile Rappakalukal (Poetry),Vishnu Narayanan Namboodiri,MALAYALAM
1993,Daivathinte Kannu (Novel),N.P. Mohammed,MALAYALAM
1992,Daivathinte Vikruthikal (Novel),M. Mukundan,MALAYALAM
1991,Chhatravum Chamaravum (Criticism),M.P. Sankunni Nair,MALAYALAM
1990,Gurusagaram (Novel),O.V. Vijayan,MALAYALAM
1989,Nizhalana (Poetry),Olappamanna Subrahmanian Nambudiripad,MALAYALAM
1988,Spandamapinikale Nandi (Novel),C. Radhakrishnan,MALAYALAM
1987,Prathipathram Bhashanabhedam (Literary criticism),N. Krishna Pillai,MALAYALAM
1986,Kavitadwani (Critical study),M. Leelavathy,MALAYALAM
1985,Tatvamasi (Critical study),Sukumar Azhicode,MALAYALAM
1984,Ayyappa Panikkarute Kritikal 1969-80 (Poetry),K. Ayyappa Paniker,MALAYALAM
1983,Thiranjedutha Prabandhangal (Essays),S. Guptan Nair,MALAYALAM
1982,Payyan Kathakal (Short stories),V.K.N. (Thiruvilvamala),MALAYALAM
1981,Avakasikal (Novel),Vilasini (M.K. Menon),MALAYALAM
1980,Smaraka Silakal (Novel),Punathil Kunhabdulla,MALAYALAM
1979,Vallatholinte Kavyasilpam (Literary criticism),N.V. Krishna Warrior,MALAYALAM
1978,Ratrimazha (Poetry),Sugathakumari,MALAYALAM
1977,Agnisakshi (Novel),N. Lalithambika Antharjanam,MALAYALAM
1976,Jeevithappatha (Autobiography),*C. Govinda Pisharoti ‘Cherukat’,MALAYALAM
1975,Aksharam (Poetry),O.N.V. Kurup,MALAYALAM
1974,Kamasurabhi (Poetry),Vennikkulam Gopala Kurup,MALAYALAM
1973,Balidarsanam (Poetry),Akkitham Achyuthan Nambudiri,MALAYALAM
1972,Oru Desathinte Katha (Novel),S.K. Pottekkat,MALAYALAM
1971,Vida (Poetry),Vyloppillil Sreedhara Menon,MALAYALAM
1970,Kaalam (Novel),M.T. Vasudevan Nair,MALAYALAM
1969,Kavile Pattu (Poetry),Edasseri Govindan Nair,MALAYALAM
1967,Thamarathoni (Poetry),P. Kunhiraman Nair,MALAYALAM
1966,Kala Jeevitham Thanne (Essays),K.M. Kuttikrishna Marar,MALAYALAM
1965,Muthassi (Poetry),N. Balamani Amma,MALAYALAM
1964,Ayalkkar (Novel),P. Kesava Dev,MALAYALAM
1963,Viswadarsanam (Poetry),G. Sankara Kurup,MALAYALAM
1960,Sundarikalum Sundaranmarum (Novel),‘Uroob’ (P. C. Kuttikrishnan),MALAYALAM
1958,Kazhinja Kaalam (Autobiography),K.P. Kesava Menon,MALAYALAM
1957,Chemmeen (Novel),Thakazhi Sivasankara Pillai,MALAYALAM
1956,Paniniya Pradyotam (Commentary),*I.C. Chacko,MALAYALAM
1955,Bhasha Sahitya Charitram (History of Literature),R. Narayana Panikkar,MALAYALAM
2023,Yachangba Nang Hallo (Poetry),Sorokkhaibam Gambhini,MANIPURI (Since 1973)
2022,Leironnung (Poetry),Koijam Shantibala ,MANIPURI (Since 1973)
2021,Manipurida Punshi Warigee Sahitya (Criticism),Thokchom Ibohanbi Singh,MANIPURI (Since 1973)
2020,Malangbana Kari Hai (Poetry),Irungbam Deven,MANIPURI (Since 1973)
2019,Ei Amadi Adungeigi Eethat (Novel),L. Birmangol Singh (Beryl Thanga),MANIPURI (Since 1973)
2018,Ngamkheigee Wangmada (Short Stories),Budhichandra Heisnamba,MANIPURI (Since 1973)
2017,Chahee Taret Khuntakpa (Play),Rajen Toijamba,MANIPURI (Since 1973)
2016,Cheptharaba Eshingpun (Short Stories),Moirangthem Rajen,MANIPURI (Since 1973)
2015,Ahingna Yekshilliba Mang (Poetry),Kshetri Rajen,MANIPURI (Since 1973)
2014,Khung-Gang Amasung Refugee (Poetry),Naorem Bidyasagar Singh,MANIPURI (Since 1973)
2013,Chinglon Amadagi Amada (Travelogue) ,Makhonmani Mongsaba,MANIPURI (Since 1973)
2012,Mathou Kanba DNA (Novel),Jodha C Sanasam,MANIPURI (Since 1973)
2011,Nangbu Ngaibada (Novel),Kshetri Bira,MANIPURI (Since 1973)
2010,Leikangla (Novel),M. Borkanya,MANIPURI (Since 1973)
2009,Khungangi Chithi (Poetry),Raghu Leishangthem,MANIPURI (Since 1973)
2008,Edu Ntngthou (Poetry),A.O. Memchoubi,MANIPURI (Since 1973)
2007,Imasi Nurabee (Novel),B.M. Maisnamba,MANIPURI (Since 1973)
2006,Nungshibi Greece (Travelogue),Saratchand Thiyam,MANIPURI (Since 1973)
2005,Pangal Shonbi Eishe Adomgini (Short stories),M. Nabakishore Singh,MANIPURI (Since 1973)
2004,Lanthengnariba Lanmee (Poetry),Birendrajit Naorem,MANIPURI (Since 1973)
2003,Leiyee Khara Punsi Khara (Short stories),Sudhir Naoroibam,MANIPURI (Since 1973)
2002,Mei Mamgera Budhi Mamgera (Poems),Rajkumar Bhubonsana,MANIPURI (Since 1973)
2001,Khongji Makhol (Short stories),Ningombam Sunita,MANIPURI (Since 1973)
2000,Eemagi Phanek Machet (Short stories),Laitonjam Premchand Singh,MANIPURI (Since 1973)
1999,Hi Nangbu Hondeda (Poetry),Sagolsem Lanchenba Meetei,MANIPURI (Since 1973)
1998,Nongdi Tarak-Khidare (Short stories),Keisham Priyokumar,MANIPURI (Since 1973)
1997,Bhut Amasung Maikhum (Poetry),Thangjam Ibopishak Singh,MANIPURI (Since 1973)
1996,Praloigi Meiriraktagi (Poetry),R.K. Madhubir,MANIPURI (Since 1973)
1995,Leipkalei (Play),Arambam Somorendra Singh,MANIPURI (Since 1973)
1994,Mayai Karaba Shamu (Short stories),Rajkumar Mani Singh,MANIPURI (Since 1973)
1993,Punshigi Marudyan (Novel),Arambam Biren Singh,MANIPURI (Since 1973)
1992,Tharoshangbi (Novel),A. Chitreshwar Sharma,MANIPURI (Since 1973)
1991,Numitti Asum Thengjillakali (Short stories),Yumlemban Ibomcha Singh,MANIPURI (Since 1973)
1990,Mapal Naidabasida Ei (Poetry),Nongthombam Biren Singh,MANIPURI (Since 1973)
1989,Tatkhrabha Punshi Leipul (Short stories),Nilabir Sharma Shastri,MANIPURI (Since 1973)
1988,Mamangthong Lollabadi Maninghthongda Lakaudana (Short stories),E. Sonamani Singh,MANIPURI (Since 1973)
1987,Tirtha Yatra (Poetry),E. Nilakanta Singh,MANIPURI (Since 1973)
